review,garage service positive,ease of booking positive,processed_text,sentiment,subthemes
"The tyres are great so far: on a good road they are very quiet, on a bad road they're not very quiet, but nothing really would be. No challenging conditions to test their grip yet, but I'm hopeful.The only shortcoming was the tyre fitting contractor which was pretty basic to be honest. As a bloke, I don't mind going to a backstreet tyre place, though I rather grew out of them some years ago, but I don't think in this day and age a lot of women would have been particularly happy with it.",tyre quality negative,garage service negative,"['tyres', 'great', 'far', ':', 'good', 'road', 'quiet', ',', 'bad', 'road', ""'re"", 'quiet', ',', 'nothing', 'really', 'would', '.', 'challenging', 'conditions', 'test', 'grip', 'yet', ',', ""'m"", 'hopeful.The', 'shortcoming', 'tyre', 'fitting', 'contractor', 'pretty', 'basic', 'honest', '.', 'bloke', ',', ""n't"", 'mind', 'going', 'backstreet', 'tyre', 'place', ',', 'though', 'rather', 'grew', 'years', 'ago', ',', ""n't"", 'think', 'day', 'age', 'lot', 'women', 'would', 'particularly', 'happy', '.']",positive,{'incorrect tyres': 'positive'}
Good quality tyres at a competitive price. Process for selecting was very quick and easy. Garage I chose fitted the tyres quickly and efficiently within an hour.,tyre quality positive,value for money positive,"['Good', 'quality', 'tyres', 'competitive', 'price', '.', 'Process', 'selecting', 'quick', 'easy', '.', 'Garage', 'chose', 'fitted', 'tyres', 'quickly', 'efficiently', 'within', 'hour', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
We have already submitted a review soon after the tyres were fitted,garage service negative,,"['already', 'submitted', 'review', 'soon', 'tyres', 'fitted']",neutral,{'incorrect tyres': 'neutral'}
"Best value tyres, good range and availability and delivered to local fitters next day.",value for money positive,location positive,"['Best', 'value', 'tyres', ',', 'good', 'range', 'availability', 'delivered', 'local', 'fitters', 'next', 'day', '.']",positive,{'incorrect tyres': 'positive'}
Good price and good service from the fitting garage,garage service positive,value for money positive,"['Good', 'price', 'good', 'service', 'fitting', 'garage']",positive,{'garage service': 'positive'}
"Good service. Great prices when compared to other tyre fitters.Location good, easy to get to. Good choice of booking times. Propped.Friendly service.",value for money positive,ease of booking positive,"['Good', 'service', '.', 'Great', 'prices', 'compared', 'tyre', 'fitters.Location', 'good', ',', 'easy', 'get', '.', 'Good', 'choice', 'booking', 'times', '.', 'Propped.Friendly', 'service', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Good service. Easy to book, efficient fitting of tyres.",ease of booking positive,length of fitting positive,"['Good', 'service', '.', 'Easy', 'book', ',', 'efficient', 'fitting', 'tyres', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Easy online selection and ordering process. Competitive prices. Am repeat customer, so confident of service provided.",value for money positive,,"['Easy', 'online', 'selection', 'ordering', 'process', '.', 'Competitive', 'prices', '.', 'repeat', 'customer', ',', 'confident', 'service', 'provided', '.']",positive,{'garage service': 'positive'}
"Excellent service, great choice of premium and budget tires. Thanks.",value for money positive,tyre quality positive,"['Excellent', 'service', ',', 'great', 'choice', 'premium', 'budget', 'tires', '.', 'Thanks', '.']",positive,{'garage service': 'positive'}
"Good Experience. Good price, convenient fitting location & time.Prompt professional attention, with a free wheel alignment check that confirmed no adjustment required.The fitting garage also contacted [REDACTED] that they believed I had left a headphones adaptor in their reception area which was not mine, but it showed that they cared.",garage service positive,value for money positive,"['Good', 'Experience', '.', 'Good', 'price', ',', 'convenient', 'fitting', 'location', '&', 'time.Prompt', 'professional', 'attention', ',', 'free', 'wheel', 'alignment', 'check', 'confirmed', 'adjustment', 'required.The', 'fitting', 'garage', 'also', 'contacted', '[', 'REDACTED', ']', 'believed', 'left', 'headphones', 'adaptor', 'reception', 'area', 'mine', ',', 'showed', 'cared', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
"Excellent service from you just a pity about your choice of fitters who were rude and also broke censor of which I had to chase them up a week later, fitted censor to then be told I had to sort the recoding myself!!",garage service negative,damage negative,"['Excellent', 'service', 'pity', 'choice', 'fitters', 'rude', 'also', 'broke', 'censor', 'chase', 'week', 'later', ',', 'fitted', 'censor', 'told', 'sort', 'recoding', '!', '!']",positive,{'garage service': 'positive'}
"Message received to advise of time for fitting (Tyre Spot at Team valley) excellent service from them and [REDACTED], extremely professional,in future all tyres will be from you",garage service positive,,"['Message', 'received', 'advise', 'time', 'fitting', '(', 'Tyre', 'Spot', 'Team', 'valley', ')', 'excellent', 'service', '[', 'REDACTED', ']', ',', 'extremely', 'professional', ',', 'future', 'tyres']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
Great product at a competitive price. Good convenient fitting places,tyre quality positive,value for money positive,"['Great', 'product', 'competitive', 'price', '.', 'Good', 'convenient', 'fitting', 'places']",positive,{}
Quality of tyres supplied are of a good standard and the price is fantastic,value for money positive,,"['Quality', 'tyres', 'supplied', 'good', 'standard', 'price', 'fantastic']",positive,{'incorrect tyres': 'positive'}
"Easy choice from many manufacturers select fitted and appointment made easily, fitted excellently",ease of booking positive,,"['Easy', 'choice', 'many', 'manufacturers', 'select', 'fitted', 'appointment', 'made', 'easily', ',', 'fitted', 'excellently']",positive,{}
Easy.. efficient and good value,value for money positive,,"['Easy', '..', 'efficient', 'good', 'value']",positive,{}
"Excellent service, very easy to use and and quick turn around. Came to my workplace and fitted a new tyre in 45 minutes. Couldn’t recommend a better service.",length of fitting positive,garage service positive,"['Excellent', 'service', ',', 'easy', 'use', 'quick', 'turn', 'around', '.', 'Came', 'workplace', 'fitted', 'new', 'tyre', '45', 'minutes', '.', '’', 'recommend', 'better', 'service', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Gd price , tyre was ready at said time",value for money positive,,"['Gd', 'price', ',', 'tyre', 'ready', 'said', 'time']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Quick delivery. Discount codes. Lots of choice.,delivery punctuality positive,discounts positive,"['Quick', 'delivery', '.', 'Discount', 'codes', '.', 'Lots', 'choice', '.']",positive,{}
"Excellent service. Easy to find the right tyres. Good prices. Excellent tyre fitting service, included in the price. Garage were quick and professional.",value for money positive,garage service positive,"['Excellent', 'service', '.', 'Easy', 'find', 'right', 'tyres', '.', 'Good', 'prices', '.', 'Excellent', 'tyre', 'fitting', 'service', ',', 'included', 'price', '.', 'Garage', 'quick', 'professional', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Used BC before, easy way to save, plus if you have a motorhome there are only a small number of locations that can accommodate it, paying a lot less to use an ideal place!",location positive,value for money positive,"['Used', 'BC', ',', 'easy', 'way', 'save', ',', 'plus', 'motorhome', 'small', 'number', 'locations', 'accommodate', ',', 'paying', 'lot', 'less', 'use', 'ideal', 'place', '!']",positive,{}
"Easy to use, great deals",value for money positive,,"['Easy', 'use', ',', 'great', 'deals']",positive,{}
from ordering to fitting everything verry good,garage service positive,,"['ordering', 'fitting', 'everything', 'verry', 'good']",positive,{}
Usually good fitting service,garage service positive,,"['Usually', 'good', 'fitting', 'service']",positive,{'garage service': 'positive'}
Very easy to order and had fitted at my convenience,ease of booking positive,,"['easy', 'order', 'fitted', 'convenience']",positive,{}
"Fair price, easy ordering and fitting",value for money positive,,"['Fair', 'price', ',', 'easy', 'ordering', 'fitting']",positive,{}
"Porsche 911 2004 996 Gen 2 C4S Tip Cab.VERY good price and the Fitters were superb!Thank you [REDACTED], I will use you again!",garage service positive,value for money positive,"['Porsche', '911', '2004', '996', 'Gen', '2', 'C4S', 'Tip', 'Cab.VERY', 'good', 'price', 'Fitters', 'superb', '!', 'Thank', '[', 'REDACTED', ']', ',', 'use', '!']",positive,{}
"Good, efficient service. Excellent value for money.",value for money positive,,"['Good', ',', 'efficient', 'service', '.', 'Excellent', 'value', 'money', '.']",positive,{'garage service': 'positive'}
Always have what I need and at right price plus arranging for the fitting is easy,value for money positive,ease of booking positive,"['Always', 'need', 'right', 'price', 'plus', 'arranging', 'fitting', 'easy']",positive,{}
I think your cheaper and a lot easier to deal with,value for money positive,,"['think', 'cheaper', 'lot', 'easier', 'deal']",neutral,{}
Easy to use. Good service. Good value.,value for money positive,,"['Easy', 'use', '.', 'Good', 'service', '.', 'Good', 'value', '.']",positive,{'garage service': 'positive'}
"Service was easy to use, fitter was on time, communicated approiately and done a great job. Highly recommended.",garage service positive,,"['Service', 'easy', 'use', ',', 'fitter', 'time', ',', 'communicated', 'approiately', 'done', 'great', 'job', '.', 'Highly', 'recommended', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
Great value no hassle to arrange fitting,ease of booking positive,value for money positive,"['Great', 'value', 'hassle', 'arrange', 'fitting']",positive,{}
Good service and easy to access to arrange,ease of booking positive,,"['Good', 'service', 'easy', 'access', 'arrange']",positive,{'garage service': 'positive'}
"Easy ordering ,attractive prices, exellent fitting station",value for money positive,garage service positive,"['Easy', 'ordering', ',', 'attractive', 'prices', ',', 'exellent', 'fitting', 'station']",positive,{}
Because of the selection of tyres available and the very competitive prices,value for money positive,,"['selection', 'tyres', 'available', 'competitive', 'prices']",positive,{'incorrect tyres': 'positive'}
VERY good Price and nice/good people fitting the Tyres.,value for money positive,garage service positive,"['good', 'Price', 'nice/good', 'people', 'fitting', 'Tyres', '.']",positive,{'incorrect tyres': 'positive'}
I was somewhat surprised to be accused of attending on the wrong day. An apology would’ve been nice as I believe it was the owner who made the mistake,booking confusion negative,,"['somewhat', 'surprised', 'accused', 'attending', 'wrong', 'day', '.', 'apology', 'would', '’', 'nice', 'believe', 'owner', 'made', 'mistake']",positive,{'incorrect tyres': 'positive'}
"Straightforward purchase, good customer service, they even honoured a discount code which was a website mistake, which was generous. Convenient to choose a local garage for fitting too.",discounts positive,advisoragent service positive,"['Straightforward', 'purchase', ',', 'good', 'customer', 'service', ',', 'even', 'honoured', 'discount', 'code', 'website', 'mistake', ',', 'generous', '.', 'Convenient', 'choose', 'local', 'garage', 'fitting', '.']",positive,{'garage service': 'positive'}
"Cheapest premium brand fitted tyresGood service, tyres fitted in alloted time slot.Would definitely use their service again",length of fitting positive,value for money positive,"['Cheapest', 'premium', 'brand', 'fitted', 'tyresGood', 'service', ',', 'tyres', 'fitted', 'alloted', 'time', 'slot.Would', 'definitely', 'use', 'service']",neutral,"{'garage service': 'neutral', 'wait time': 'neutral', 'incorrect tyres': 'neutral'}"
